KEup,KEdown
Acetylcholinesterase (AchE) Inhibition,Increased Cholinergic Signaling
Impaired coordination and movement,"Decrease, Population growth rate"
Impaired coordination and movement,Increased Mortality
Increased Mortality,"Decrease, Population growth rate"
Increased Cholinergic Signaling,Impaired coordination and movement
CYP2E1 Activation,Oxidative Stress in Brain
Oxidative Stress in Brain,Unfolded Protein Response
Oxidative Stress in Brain,Lipid Peroxidation
Unfolded Protein Response,General Apoptosis
General Apoptosis,Neurodegeneration
Protein Adduct Formation,Unfolded Protein Response
Lipid Peroxidation,Protein Adduct Formation
Lipid Peroxidation,General Apoptosis
"Reduction, Neuronal synaptic inhibition","Generation, Amplified excitatory postsynaptic potential (EPSP)"
"Occurrence, A paroxysmal depolarizing shift","Occurrence, Epileptic seizure"
"Reduction, Ionotropic GABA receptor chloride channel conductance","Reduction, Neuronal synaptic inhibition"
"Binding at picrotoxin site, iGABAR chloride channel","Reduction, Ionotropic GABA receptor chloride channel conductance"
"Generation, Amplified excitatory postsynaptic potential (EPSP)","Occurrence, A paroxysmal depolarizing shift"
"Increased, extracellular serotonin","Decreased, 5-HT3"
"Increased, serotonin transporter activity","Increased, intracellular serotonin"
"Increased, serotonin transporter activity","Decreased, extracellular serotonin"
"Increased, intracellular serotonin","Increased, packaged serotonin"
"Increased, packaged serotonin","Increased, synaptic release"
"Increased, synaptic release","Increased, extracellular serotonin"
"Decreased, 5-HT3","Increased, seizure"
"Inhibition, NADH-ubiquinone oxidoreductase  (complex I)","N/A, Mitochondrial dysfunction 1"
"Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)","Inhibition, NADH-ubiquinone oxidoreductase  (complex I)"
"N/A, Mitochondrial dysfunction 1",Degeneration of dopaminergic neurons of the nigrostriatal pathway
"N/A, Mitochondrial dysfunction 1","Impaired, Proteostasis"
Neuroinflammation,Degeneration of dopaminergic neurons of the nigrostriatal pathway
"Impaired, Proteostasis",Degeneration of dopaminergic neurons of the nigrostriatal pathway
Degeneration of dopaminergic neurons of the nigrostriatal pathway,Parkinsonian motor deficits
Degeneration of dopaminergic neurons of the nigrostriatal pathway,Neuroinflammation
"Binding, Transthyretin in serum","Displacement, Serum thyroxine (T4) from transthyretin"
"Displacement, Serum thyroxine (T4) from transthyretin","Increased, Free serum thyroxine (T4)"
"Increased, Free serum thyroxine (T4)","Increased, Clearance of thyroxine from serum"
"Increased, Clearance of thyroxine from serum"," Thyroxine (T4) in serum, Decreased"
Acetylcholinesterase (AchE) Inhibition,Activation of Cyp2E1
Activation of Cyp2E1,Oxidative Stress in Brain
Oxidative Stress in Brain,"N/A, Neurodegeneration"
"N/A, Neurodegeneration","Decreased, Neuronal network function in adult brain"
Sensory axonal peripheral neuropathy,Increased Mortality
"Decreased, Neuronal network function in adult brain",Sensory axonal peripheral neuropathy
"Decreased, GnRH pulsatility/release in hypothalamus","Decreased, LH Surge from anterior pituitary"
"Decreased, LH Surge from anterior pituitary","interruption, Ovulation"
"Decreased, LH Surge from anterior pituitary","prolonged, estrus"
"interruption, Ovulation","Increased, circulating estrogen levels"
"prolonged, estrus","Increased, circulating estrogen levels"
"Increased, circulating estrogen levels","Increased, lactotroph hyperplasia and hypertrophy"
"Increased, lactotroph hyperplasia and hypertrophy","Increased, adenomas (pituitary)"
"Inactivated, 5-HTR (serotonin receptors)","Reduce expression, BDNF (Brain-derived neurotrophic factor)"
"Reduce expression, BDNF (Brain-derived neurotrophic factor)","Decreased, neuroplasticity"
"Decreased, neuroplasticity","Increased, depression"
"Decreased, extracellular serotonin","Inactivated, 5-HTR (serotonin receptors)"
"Activation, Glucocorticoid Receptor","Reduced, BDNF (Brain-derived neurotrophic factor)"
"Decreased, serotonin transporter activity","Increased, intracellular sodium (Na+)"
"Decreased, serotonin transporter activity","Decreased, extracellular chloride (Cl-)"
"Decreased, serotonin transporter activity","Decreased, intracellular serotonin"
"Decreased, serotonin transporter activity","Decreased, extracellular sodium (Na+) "
"Decreased, serotonin transporter activity","Increased, intracellular chloride (Cl-)"
"Decreased, serotonin transporter activity","Increased, extracellular serotonin"
"Decreased, intracellular serotonin","Decreased, packaged serotonin"
"Decreased, packaged serotonin","Decreased, synaptic release"
"Decreased, synaptic release","Decreased, extracellular serotonin"
"Increased, 5-HT3 (5-hydroxytryptamine)","Increased, seizure"
"Decreased, neuroplasticity","Increased, agitation"
"Increase, cortisone","Activation, Glucocorticoid Receptor"
"Activation, 5-HT2A (Serotonin 2A)","Activate, PLC (Phospholipase C)"
"Activate, PLC (Phospholipase C)","Increase, inositol triphosphate"
"Increase, inositol triphosphate","Increase, intracellular calcium"
"Increase, intracellular calcium","Activate, calmodulin"
"Activate, calmodulin","Increase, myosin light chain phosphorylation"
"Increase, myosin light chain phosphorylation","Increase, vascular smooth muscle contraction"
"Increase, vascular smooth muscle contraction","Increase, hypertension"
"Decreased, extracellular serotonin","Increased, 5-HT3 (5-hydroxytryptamine)"
"Decreased, extracellular serotonin","Activation, 5-HT2A (Serotonin 2A)"
Oxidative Stress ,Hyperphosphorylation of Tau
Impaired axonial transport,Synaptic dysfunction
Mitochondrial dysfunction,Oxidative Stress 
Neuroinflammation,Decrease of neuronal network function
Decrease of neuronal network function,Memory Loss
"Accumulation, Cytosolic toxic Tau oligomers",Neuroinflammation
"Accumulation, Cytosolic toxic Tau oligomers",Impaired axonial transport
Dysfunctional Autophagy,"Accumulation, Cytosolic toxic Tau oligomers"
Binding of microtubule stabilizing agents (MSA) to microtubules,Disturbance in microtubule dynamic instability
Disturbance in microtubule dynamic instability,Impaired axonial transport
Impaired axonial transport,Sensory axonal peripheral neuropathy
"Increased, seizure","Increased, epilepsy"
"Increased, RDX dose","Reduced, GABA-A receptor activation"
"Increased, hippocampal hyperdepolarization","Increased, seizure"
"Reduced, presynaptic neuron 2 activity","Decreased, GABA"
"Decreased, GABA","Reduced, GABA-A receptor activation"
"Reduced, GABA-A receptor activation","Decreased, intracellular chloride"
"Decreased, intracellular chloride","Activated, membrane depolarization"
"Antagonism, Thyroid Receptor ","Cognitive Function, Decreased "
"Antagonism, Thyroid Receptor ","Hippocampal gene expression, Altered "
"Binding of antagonist, NMDA receptors","Inhibition, NMDARs"
Reduced levels of BDNF,Cell injury/death
Reduced levels of BDNF,"Aberrant, Dendritic morphology"
Reduced levels of BDNF,"Reduced, Presynaptic release of glutamate"
"Inhibition, NMDARs","Decreased, Calcium influx"
"Aberrant, Dendritic morphology",Decrease of synaptogenesis
"Reduced, Presynaptic release of glutamate",Decrease of synaptogenesis
"Decreased, Calcium influx",Reduced levels of BDNF
Cell injury/death,Decrease of synaptogenesis
Unfolded Protein Response,"Activation, caspases"
"Increased, Intracellular Calcium overload",Activation of calpain signalling
"Increased, Intracellular Calcium overload",Endoplasmic reticulum stress
"Increased, Intracellular Calcium overload",Mitochondrial dysfunction
Oxidative Stress ,Mitochondrial Injury
Oxidative Stress ,Accumulation of misfolded proteins
Oxidative Stress ,Proteasomal dysfunction
"Increase, Cell membrane depolarization","Opening, voltage-gated calcium channels"
Mitochondrial Injury,"Increase, Cytochrome c release"
Proteasomal dysfunction,Accumulation of misfolded proteins
Accumulation of misfolded proteins,"Activation, caspases"
Accumulation of misfolded proteins,Endoplasmic reticulum stress
Mitochondrial dysfunction,Proteasomal dysfunction
"Increase, Cell death",Parkinsonian motor deficits
"Overactivation, NMDARs","Increase, Cell membrane depolarization"
Endoplasmic reticulum stress,Unfolded Protein Response
Activation of metabotropic glutamate receptor,Inositol triphosphate receptor activation
Inositol triphosphate receptor activation,"Increased, Intracellular Calcium overload"
Activation of calpain signalling,"Increase, Cell death"
Inhibition GABAA receptor,"Increase, Cell membrane depolarization"
"Increase, Cytochrome c release","Activation, caspases"
"Opening, voltage-gated calcium channels","Increased, Intracellular Calcium overload"
"Activation, caspases","Increase, Cell death"
"Altered, Neuroanatomy","Altered, Neurophysiology"
"Inhibition, Na+/I- symporter (NIS)","Thyroid hormone synthesis, Decreased"
"Altered, Neurophysiology","Cognitive Function, Decreased "
"Inactivated, 5-HTR (serotonin receptors)","Reduced, BDNF (Brain-derived neurotrophic factor)"
"Increased, glucocorticoid receptor activity","Reduced, BDNF (Brain-derived neurotrophic factor)"
"Reduced, BDNF (Brain-derived neurotrophic factor)","Decreased, neuroplasticity"
Binding to voltage-gated sodium channel,Disruption of sodium channel gating kinetics
Disruption of sodium channel gating kinetics,"Disruption, action potential"
"N/A, Neurodegeneration",Neuroinflammation
"N/A, Neurodegeneration","Impairment, Learning and memory"
Cell injury/death,Neuroinflammation
Oxidative Stress ,Glutamate dyshomeostasis
Oxidative Stress ,Cell injury/death
"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",Decreased protection against oxidative stress
Glutamate dyshomeostasis,Cell injury/death
Increased Pro-inflammatory mediators,Cell injury/death
Decreased protection against oxidative stress,Oxidative Stress 
Neuroinflammation,Cell injury/death
Cell injury/death,Decrease of neuronal network function
Cell injury/death,Tissue resident cell activation
"Increased, Intracellular Calcium overload","N/A, Mitochondrial dysfunction 1"
"N/A, Mitochondrial dysfunction 1",Cell injury/death
"Decreased, Neuronal network function in adult brain","Impairment, Learning and memory"
Histone deacetylase inhibition,"Histone acetylation, increase"
"Histone acetylation, increase","Altered, Gene Expression"
"Altered, Gene Expression",Altered differentiation
Altered differentiation,Neural tube defects
Release of G Proteins,Opening of G protein gated inward rectifying K channels
Opening of G protein gated inward rectifying K channels,"hyperpolarisation, neuron"
"hyperpolarisation, neuron",Anti-depressant Activity
