KEup,KEdown
Activation of inflammation pathway,Pulmonary inflammation
Pulmonary inflammation,Chronic obstructive pulmonary disease
Emphysema,Chronic obstructive pulmonary disease
Fibroblast proliferation and differentiation,Airway remodeling
Airway remodeling,Chronic obstructive pulmonary disease
Oxidative Stress ,"FOXJ1 Protein, Decreased"
"FOXJ1 Protein, Decreased","Motile Cilia Number/Length, Decreased"
"Motile Cilia Number/Length, Decreased","Cilia Beat Frequency, Decreased"
"Increased, secretion of local growth factors","Increased, Cell Proliferation (mesothelium)"
"persistent, cytotoxicity (pleura or peritoneum)","Increased, Oxidative Stress"
"persistent, cytotoxicity (pleura or peritoneum)","Increased, inflammation"
"Increased, inflammation","Increased, secretion of local growth factors"
"Increased, Oxidative Stress","Increased, secretion of local growth factors"
"Increased, Cell Proliferation (mesothelium)","Increased, mesotheliomas"
Inadequate DNA repair,"Increase, Chromosomal aberrations"
Inadequate DNA repair,"Increase, Mutations"
"Increase, DNA strand breaks","Increase, Chromosomal aberrations"
"Increase, DNA strand breaks",Inadequate DNA repair
"Increase, DNA strand breaks","Increase, Mutations"
"Increase, Chromosomal aberrations","Increase, lung cancer"
"Increase, Chromosomal aberrations","Increase, Cell Proliferation"
Deposition of Energy,"Increase, Chromosomal aberrations"
Deposition of Energy,"Increase, Mutations"
Deposition of Energy,"Increase, DNA strand breaks"
Deposition of Energy,"Increase, lung cancer"
"Increase, Mutations","Increase, Cell Proliferation"
"Increase, Mutations","Increase, lung cancer"
"Increase, Cell Proliferation","Increase, lung cancer"
Inactivation of PPARγ,"Activation, TGF-beta pathway"
"Activation, TGF-beta pathway","Induction, Epithelial Mesenchymal Transition"
"Activation, JNK",Activator protein 1 activation
"Activation, JNK",Pin-1 activation
"Induction, Epithelial Mesenchymal Transition",Pulmonary fibrosis
Toll-like receptor 4 activation,"Activation, JNK"
Activator protein 1 activation,Latent Transforming growth Factor beta expression
Pin-1 activation,Latent Transforming growth Factor beta expression
Latent Transforming growth Factor beta expression,"Activation, TGF-beta pathway"
