KEup,KEdown
"Occurrence, Cytoplasmic vacuolization (Renal tubule)","Decreased, Glomerular filtration"
"Decreased, Glomerular filtration","Occurrence, Kidney toxicity"
"Decreased, Renal plasma flow","Occurrence, Kidney toxicity"
"Decreased, Sodium reabsorption","Occurrence, Kidney toxicity"
"Occurrence, Cystic dilatation (renal tubule)","Decreased, Glomerular filtration"
"Occurrence, Cystic dilatation (renal tubule)","Decreased, Sodium reabsorption"
"Occurrence, Cystic dilatation (renal tubule)","Decreased, Renal ability to dilute urine"
"Occurrence, Cystic dilatation (renal tubule)","Decreased, Renal plasma flow"
"Occurrence, Cytoplasmic vacuolization (podocyte)","Decreased, Glomerular filtration"
"Occurrence, Cytoplasmic vacuolization (podocyte)","Decreased, Sodium reabsorption"
"Occurrence, Cytoplasmic vacuolization (podocyte)","Decreased, Renal ability to dilute urine"
"Occurrence, Cytoplasmic vacuolization (podocyte)","Decreased, Renal plasma flow"
"Decreased, Renal ability to dilute urine","Occurrence, Kidney toxicity"
"N/A, Unknown","Increased, Kidney Failure"
"Activation, 5HT2c","N/A, Unknown"
"Decrease, Oxidative phosphorylation",Decreased Na/K ATPase activity
"Inhibition, NADH-ubiquinone oxidoreductase  (complex I)","Decrease, Oxidative phosphorylation"
"Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)","Inhibition, NADH-ubiquinone oxidoreductase  (complex I)"
Decreased Na/K ATPase activity,Decreased proximal tubular vectorial transport
Decreased proximal tubular vectorial transport,Chemical induced Fanconi syndrome
"Dysfunction, Mitochondria ","Decrease, Mitochondrial ATP production"
"Alkylation, Protein","Dysfunction, Mitochondria "
"Decrease, Mitochondrial ATP production","Increase, Cytotoxicity (renal tubular cell)"
"Occurrence, renal proximal tubular necrosis","Occurrence, Kidney toxicity"
"Increase, Apoptosis","Occurrence, renal proximal tubular necrosis"
Increase in inflammation,"Occurrence, renal proximal tubular necrosis"
"Decrease, Mitochondrial membrane potential","Increase, Mitochondrial Dysfunction"
Activation of ER stress,"Increase, Apoptosis"
"Inhibition, Nuclear factor kappa B (NF-kB)",Increase in inflammation
"Occurrence, Kidney toxicity","Increased, Kidney Failure"
"Inhibition, Mitochondrial Electron Transport Chain Complexes","Decrease, Mitochondrial membrane potential"
"Altered gene expression, NRF2 dependent antioxidant pathway",Activation of ER stress
"Altered gene expression, NRF2 dependent antioxidant pathway","Increased, Oxidative Stress"
"Increase, Mitochondrial Dysfunction","Altered gene expression, NRF2 dependent antioxidant pathway"
"Increase, Mitochondrial Dysfunction","Increase, Apoptosis"
"Increase, Mitochondrial Dysfunction","Inhibition, Nuclear factor kappa B (NF-kB)"
"Inhibition, organic anion transporter 1 (OAT1)","Increased, blood uric acid concentration"
"Increased, blood uric acid concentration","Occurrence, tophi (urate) deposition"
"Increased, blood uric acid concentration","Increased, Oxidative Stress"
"Occurrence, renal proximal tubular necrosis","Increased, blood uric acid concentration"
"Occurrence, tophi (urate) deposition","Occurrence, renal proximal tubular necrosis"
"Increase, Regenerative cell proliferation (tubular epithelial cells)","Increase, Hyperplasia (tubular epithelial cells)"
"Increase, Cytotoxicity (tubular epithelial cells)","Increase, Regenerative cell proliferation (tubular epithelial cells)"
"Increase, Hyperplasia (tubular epithelial cells)","Increase, Adenomas/carcinomas (renal tubular)"
"Inhibition, Cyclooxygenase 1 activity","Decreased, Prostaglandin F2alpha concentration, plasma "
"Decreased, Prostaglandin F2alpha concentration, plasma ","Occurrence, renal ischemia"
"Occurrence, renal ischemia","Increased, Oxidative Stress"
